Transaction Date,Post Date,Description,Category,Type,Amount,Memo
07/15/2025,07/16/2025,UBER   *TRIP,Travel,Sale,-20.49,
07/15/2025,07/16/2025,UBER   *TRIP,Travel,Sale,-11.99,
07/15/2025,07/15/2025,UBER   *TRIP,Travel,Sale,-10.81,
07/11/2025,07/13/2025,UBER   *TRIP,Travel,Sale,-9.99,
07/12/2025,07/13/2025,UBER   *TRIP,Travel,Sale,-13.97,
07/08/2025,07/09/2025,JULIES KITCHEN #2,Food & Drink,Sale,-16.88,
07/07/2025,07/09/2025,ARMK ORACLE PARK - CON,Food & Drink,Sale,-13.42,
07/06/2025,07/08/2025,TRADER JOE S #200,Groceries,Sale,-49.96,
07/07/2025,07/08/2025,UBER   *TRIP,Travel,Sale,-34.26,
07/07/2025,07/07/2025,Payment Thank You-Mobile,,Payment,217.62,
07/07/2025,07/07/2025,UBER   *TRIP,Travel,Sale,-40.96,
07/04/2025,07/06/2025,UBER   *TRIP,Travel,Sale,-11.07,
07/03/2025,07/04/2025,CHIPOTLE 1857,Food & Drink,Sale,-13.31,
07/03/2025,07/04/2025,SQ *BAREBOTTLE BREWING CO,Food & Drink,Sale,-7.60,
07/03/2025,07/03/2025,BAYWHEE*SUBSCRIPTION,Travel,Sale,-31.46,
07/02/2025,07/03/2025,WAYMO,Travel,Sale,-15.28,
07/02/2025,07/03/2025,WAYMO,Travel,Sale,-17.02,
06/29/2025,07/02/2025,CLIPPER SYSTEMS MOBILE #1,Travel,Sale,-20.00,
07/01/2025,07/01/2025,Payment Thank You-Mobile,,Payment,278.06,
06/29/2025,07/01/2025,TRADER JOE S #200,Groceries,Sale,-24.43,
06/30/2025,07/01/2025,HONS WUN-TUN HOUSE LLC,Food & Drink,Sale,-35.45,
06/29/2025,07/01/2025,GOLDEN GATE TRANSIT,Travel,Sale,-14.00,
06/29/2025,07/01/2025,GOLDEN GATE TRANSIT,Travel,Sale,-28.00,
06/29/2025,06/30/2025,LS STUDIO 333,Shopping,Sale,-10.93,
06/29/2025,06/30/2025,SQ *TIVOLI DECOR,Home,Sale,-37.14,
06/29/2025,06/30/2025,THE SETUP,Entertainment,Sale,-70.00,
06/28/2025,06/30/2025,TST*SUSHI ON NORTH BEACH,Food & Drink,Sale,-49.82,
06/27/2025,06/29/2025,TST* FLORES - UNION,Food & Drink,Sale,-75.01,
06/28/2025,06/29/2025,LUKE'S LOCAL UNION,Groceries,Sale,-15.21,
06/26/2025,06/27/2025,Payment Thank You-Mobile,,Payment,166.03,
06/26/2025,06/27/2025,UBER   *TRIP,Travel,Sale,-19.95,
06/24/2025,06/26/2025,TRADER JOE S #200,Groceries,Sale,-81.01,
06/23/2025,06/26/2025,CLIPPER SYSTEMS MOBILE #1,Travel,Sale,-20.00,
06/26/2025,06/26/2025,WAYMO,Travel,Sale,-15.50,
06/24/2025,06/25/2025,CHIPOTLE 2828,Food & Drink,Sale,-12.90,
06/24/2025,06/25/2025,CVS/PHARMACY #10080,Health & Wellness,Sale,-4.55,
06/23/2025,06/25/2025,TRADER JOE S #200,Groceries,Sale,-7.84,
06/25/2025,06/25/2025,UBER   *TRIP,Travel,Sale,-5.62,
06/24/2025,06/24/2025,LYFT   *BAYWHEELS BIKE,Travel,Sale,-0.98,
06/23/2025,06/24/2025,LYFT   *BAYWHEELS BIKE,Travel,Sale,-3.63,
06/23/2025,06/23/2025,Payment Thank You-Mobile,,Payment,372.72,
06/21/2025,06/23/2025,SEQUOIA PARKS CONSERVANCY,Shopping,Sale,-14.00,
06/21/2025,06/22/2025,Subway 13056,Food & Drink,Sale,-12.99,
06/20/2025,06/22/2025,RECREATION.GOV,Bills & Utilities,Sale,-35.00,
06/20/2025,06/22/2025,UBER   *TRIP,Travel,Sale,-19.93,
06/18/2025,06/19/2025,RECREATION.GOV,Bills & Utilities,Sale,-64.00,
06/16/2025,06/18/2025,TRADER JOE S #200,Groceries,Sale,-20.81,
06/14/2025,06/17/2025,CLIPPER SYSTEMS MOBILE #1,Travel,Sale,-20.00,
06/15/2025,06/17/2025,AMK SAN JOSE ICE CENTER,Food & Drink,Sale,-164.06,
06/15/2025,06/16/2025,UBER   *TRIP,Travel,Sale,-9.41,
06/15/2025,06/16/2025,TST*THE GOOD LIFE PIZZA,Food & Drink,Sale,-6.63,
06/13/2025,06/15/2025,UBER   *TRIP,Travel,Sale,-16.93,
06/14/2025,06/15/2025,BEVERAGES &amp; MORE #71,Food & Drink,Sale,-59.17,
06/11/2025,06/11/2025,LYFT   *BAYWHEELS BIKE,Travel,Sale,-2.28,
06/10/2025,06/10/2025,LYFT   *BAYWHEELS BIKE,Travel,Sale,-3.96,
06/09/2025,06/10/2025,LYFT   *BAYWHEELS BIKE,Travel,Sale,-2.44,
06/07/2025,06/09/2025,PINE AND TAYLOR CORP,Groceries,Sale,-10.24,
06/08/2025,06/09/2025,UBER   *TRIP,Travel,Sale,-41.92,
06/07/2025,06/09/2025,TRADER JOE S #200,Groceries,Sale,-70.87,
06/08/2025,06/08/2025,Payment Thank You-Mobile,,Payment,278.52,
06/07/2025,06/08/2025,Payment Thank You-Mobile,,Payment,278.52,
06/06/2025,06/08/2025,LYFT   *BAYWHEELS BIKE,Travel,Sale,-2.12,
06/06/2025,06/08/2025,TARGET        00027664,Shopping,Sale,-8.67,
06/07/2025,06/08/2025,UBER   *TRIP,Travel,Sale,-11.90,
06/08/2025,06/08/2025,UBER   *TRIP,Travel,Sale,-41.77,
06/06/2025,06/08/2025,POKE BOWLS,Food & Drink,Sale,-15.48,
06/07/2025,06/08/2025,LYFT   *BAYWHEELS BIKE,Travel,Sale,-2.12,
06/06/2025,06/08/2025,UBER   *TRIP,Travel,Sale,-8.54,
06/05/2025,06/06/2025,UBER   *TRIP,Travel,Sale,-17.74,
06/03/2025,06/05/2025,TST*MURACCIS - SAN FRAN,Food & Drink,Sale,-19.25,
06/04/2025,06/05/2025,SQ *ROOSTER &amp; RICE,Food & Drink,Sale,-18.11,
06/02/2025,06/04/2025,EL SUPER BURRITO,Food & Drink,Sale,-14.66,
06/02/2025,06/03/2025,TARGET        00027664,Shopping,Sale,-62.99,
06/02/2025,06/03/2025,UBER   *TRIP,Travel,Sale,-24.98,
06/01/2025,06/03/2025,TRADER JOE S #200,Groceries,Sale,-38.91,
06/02/2025,06/03/2025,LYFT   *BAYWHEELS BIKE,Travel,Sale,-4.33,
06/03/2025,06/03/2025,BAYWHEE*SUBSCRIPTION,Travel,Sale,-31.46,
06/02/2025,06/02/2025,Payment Thank You-Mobile,,Payment,58.58,
06/01/2025,06/02/2025,UBER   *TRIP,Travel,Sale,-39.97,
05/31/2025,06/02/2025,STARBUCKS C8 N DFW,Food & Drink,Sale,-6.12,
06/01/2025,06/01/2025,EB *TED SHAVUOT,Personal,Sale,-44.52,
05/31/2025,06/01/2025,SQ *EINSTEIN BROS BAGELS,Food & Drink,Sale,-14.06,
05/29/2025,05/29/2025,Payment Thank You-Mobile,,Payment,87.22,
05/22/2025,05/23/2025,UBER   *TRIP,Travel,Sale,-38.40,
05/22/2025,05/23/2025,DEPARTURES - SFO TERM,Shopping,Sale,-8.19,
05/19/2025,05/22/2025,CLIPPER SYSTEMS MOBILE #1,Travel,Sale,-10.00,
05/21/2025,05/22/2025,POKE BOWLS,Food & Drink,Sale,-17.65,
05/21/2025,05/21/2025,Payment Thank You-Mobile,,Payment,173.10,
05/20/2025,05/21/2025,WHOLEFDS FRK 10044,Groceries,Sale,-12.98,
05/20/2025,05/20/2025,Payment Thank You-Mobile,,Payment,100.12,
05/19/2025,05/20/2025,UBER   *TRIP,Travel,Sale,-11.63,
05/18/2025,05/20/2025,WAGO SUSHI,Food & Drink,Sale,-148.61,
05/19/2025,05/20/2025,UBER   *TRIP,Travel,Sale,-12.86,
05/19/2025,05/19/2025,LYFT   *BAYWHEELS BIKE,Travel,Sale,-4.33,
05/18/2025,05/18/2025,Payment Thank You-Mobile,,Payment,118.15,
05/16/2025,05/18/2025,UBER   *TRIP,Travel,Sale,-23.89,
05/16/2025,05/18/2025,TRADER JOE S #200,Groceries,Sale,-43.16,
05/17/2025,05/18/2025,UBER   *TRIP,Travel,Sale,-4.87,
05/17/2025,05/18/2025,WAYMO,Travel,Sale,-12.69,
05/16/2025,05/18/2025,BEVERAGES &amp; MORE #71,Food & Drink,Sale,-11.18,
05/16/2025,05/16/2025,TST*CAFFE SPORT,Food & Drink,Sale,-98.15,
05/15/2025,05/15/2025,Payment Thank You-Mobile,,Payment,89.73,
05/12/2025,05/15/2025,CLIPPER SYSTEMS MOBILE #1,Travel,Sale,-20.00,
05/11/2025,05/13/2025,CLIPPER SYSTEMS MOBILE #1,Travel,Sale,-20.00,
05/11/2025,05/12/2025,WHOLEFDS FRK 10044,Groceries,Sale,-29.63,
05/11/2025,05/12/2025,FSP*BENCHMARK CLIMBING,Health & Wellness,Sale,-30.00,
05/10/2025,05/12/2025,CTLP*Emporium SF LLC,Food & Drink,Sale,-10.10,
